surface_id,leaf_id,leaf_side,larva_mine_alive_n,larva_mine_dead_n,larva_mine_paras_n,mine_empty_n,larva_fold_alive_n,larva_fold_dead_n,larva_fold_paras_n,pupa_fold_dead_n,pupa_fold_paras_n,pupa_fold_eclose_n,fold_empty_n,pupa_fold_alive_n
surface_2007_BNZ_8_11_T,leaf_2007_BNZ_8_11,T,0,2,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_8_11_B,leaf_2007_BNZ_8_11,B,2,1,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_8_12_T,leaf_2007_BNZ_8_12,T,2,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_8_12_B,leaf_2007_BNZ_8_12,B,3,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_8_13_T,leaf_2007_BNZ_8_13,T,1,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_8_13_B,leaf_2007_BNZ_8_13,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_9_2_T,leaf_2007_BNZ_9_2,T,0,0,1,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_9_2_B,leaf_2007_BNZ_9_2,B,0,2,0,2,0,0,0,0,0,0,0,0
surface_2007_BNZ_9_3_T,leaf_2007_BNZ_9_3,T,0,1,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_9_3_B,leaf_2007_BNZ_9_3,B,0,1,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_9_5_T,leaf_2007_BNZ_9_5,T,0,1,0,0,0,0,0,0,0,0,0,3
surface_2007_BNZ_9_5_B,leaf_2007_BNZ_9_5,B,0,2,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_9_6_T,leaf_2007_BNZ_9_6,T,0,2,0,0,0,0,1,0,0,0,0,1
surface_2007_BNZ_9_6_B,leaf_2007_BNZ_9_6,B,0,2,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_9_7_T,leaf_2007_BNZ_9_7,T,0,1,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_9_7_B,leaf_2007_BNZ_9_7,B,0,0,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_9_8_T,leaf_2007_BNZ_9_8,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_9_8_B,leaf_2007_BNZ_9_8,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_10_1_T,leaf_2007_BNZ_10_1,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_10_1_B,leaf_2007_BNZ_10_1,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_10_2_T,leaf_2007_BNZ_10_2,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_10_2_B,leaf_2007_BNZ_10_2,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_10_3_T,leaf_2007_BNZ_10_3,T,0,3,0,0,0,0,1,0,1,0,0,1
surface_2007_BNZ_10_3_B,leaf_2007_BNZ_10_3,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_10_4_T,leaf_2007_BNZ_10_4,T,0,2,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_10_4_B,leaf_2007_BNZ_10_4,B,0,1,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_10_5_T,leaf_2007_BNZ_10_5,T,0,1,0,0,0,0,0,0,0,0,1,0
surface_2007_BNZ_10_5_B,leaf_2007_BNZ_10_5,B,0,1,0,1,0,0,0,0,0,0,0,1
surface_2007_BNZ_10_6_T,leaf_2007_BNZ_10_6,T,0,1,2,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_10_6_B,leaf_2007_BNZ_10_6,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_10_7_T,leaf_2007_BNZ_10_7,T,0,2,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_10_7_B,leaf_2007_BNZ_10_7,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_10_8_T,leaf_2007_BNZ_10_8,T,1,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_10_8_B,leaf_2007_BNZ_10_8,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_11_2_T,leaf_2007_BNZ_11_2,T,0,0,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_11_2_B,leaf_2007_BNZ_11_2,B,0,0,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_11_3_T,leaf_2007_BNZ_11_3,T,0,1,0,0,0,0,0,0,1,0,0,0
surface_2007_BNZ_11_3_B,leaf_2007_BNZ_11_3,B,0,0,0,1,0,0,0,0,0,0,0,1
surface_2007_BNZ_11_4_T,leaf_2007_BNZ_11_4,T,0,2,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_11_4_B,leaf_2007_BNZ_11_4,B,0,0,0,1,0,0,1,0,1,0,0,0
surface_2007_BNZ_11_5_T,leaf_2007_BNZ_11_5,T,0,0,0,0,0,0,0,3,0,0,0,0
surface_2007_BNZ_11_5_B,leaf_2007_BNZ_11_5,B,0,1,0,0,0,0,0,0,0,0,1,1
surface_2007_BNZ_11_6_T,leaf_2007_BNZ_11_6,T,0,4,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_11_6_B,leaf_2007_BNZ_11_6,B,0,1,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_11_7_T,leaf_2007_BNZ_11_7,T,0,2,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_11_7_B,leaf_2007_BNZ_11_7,B,0,0,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_11_8_T,leaf_2007_BNZ_11_8,T,0,1,0,0,0,0,0,0,0,0,1,1
surface_2007_BNZ_11_8_B,leaf_2007_BNZ_11_8,B,0,0,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_11_9_T,leaf_2007_BNZ_11_9,T,1,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_11_9_B,leaf_2007_BNZ_11_9,B,0,0,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_11_10_T,leaf_2007_BNZ_11_10,T,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_11_10_B,leaf_2007_BNZ_11_10,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_12_1_T,leaf_2007_BNZ_12_1,T,0,2,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_12_1_B,leaf_2007_BNZ_12_1,B,0,1,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_12_2_T,leaf_2007_BNZ_12_2,T,0,1,0,0,0,0,1,0,0,0,0,0
surface_2007_BNZ_12_2_B,leaf_2007_BNZ_12_2,B,0,0,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_12_3_T,leaf_2007_BNZ_12_3,T,0,2,0,0,0,0,1,1,0,0,0,1
surface_2007_BNZ_12_3_B,leaf_2007_BNZ_12_3,B,0,0,0,0,0,0,0,0,0,0,2,0
surface_2007_BNZ_12_4_T,leaf_2007_BNZ_12_4,T,0,3,0,0,0,0,0,0,1,0,0,0
surface_2007_BNZ_12_4_B,leaf_2007_BNZ_12_4,B,0,2,1,0,0,0,0,0,1,0,0,0
surface_2007_BNZ_12_5_T,leaf_2007_BNZ_12_5,T,0,1,0,0,0,0,0,0,1,0,0,1
surface_2007_BNZ_12_5_B,leaf_2007_BNZ_12_5,B,0,1,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_12_6_T,leaf_2007_BNZ_12_6,T,0,3,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_12_6_B,leaf_2007_BNZ_12_6,B,0,3,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_13_2_T,leaf_2007_BNZ_13_2,T,0,2,0,0,0,0,0,0,0,0,0,2
surface_2007_BNZ_13_2_B,leaf_2007_BNZ_13_2,B,0,0,0,0,0,0,1,0,0,0,0,0
surface_2007_BNZ_13_3_T,leaf_2007_BNZ_13_3,T,0,1,0,0,0,1,0,0,0,0,0,0
surface_2007_BNZ_13_3_B,leaf_2007_BNZ_13_3,B,0,0,0,0,0,0,0,0,0,0,1,0
surface_2007_BNZ_13_4_T,leaf_2007_BNZ_13_4,T,0,2,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_13_4_B,leaf_2007_BNZ_13_4,B,0,1,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_13_5_T,leaf_2007_BNZ_13_5,T,0,2,0,0,0,0,1,0,0,0,0,0
surface_2007_BNZ_13_5_B,leaf_2007_BNZ_13_5,B,0,2,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_13_6_T,leaf_2007_BNZ_13_6,T,0,4,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_13_6_B,leaf_2007_BNZ_13_6,B,0,0,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_14_1_T,leaf_2007_BNZ_14_1,T,0,4,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_14_1_B,leaf_2007_BNZ_14_1,B,0,0,1,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_14_2_T,leaf_2007_BNZ_14_2,T,0,2,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_14_2_B,leaf_2007_BNZ_14_2,B,1,1,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_14_3_T,leaf_2007_BNZ_14_3,T,0,3,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_14_3_B,leaf_2007_BNZ_14_3,B,0,1,0,0,0,0,1,0,0,0,0,1
surface_2007_BNZ_14_4_T,leaf_2007_BNZ_14_4,T,0,1,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_14_4_B,leaf_2007_BNZ_14_4,B,0,2,0,0,0,0,0,0,0,0,1,0
surface_2007_BNZ_14_5_T,leaf_2007_BNZ_14_5,T,0,1,0,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_14_5_B,leaf_2007_BNZ_14_5,B,0,3,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_14_6_T,leaf_2007_BNZ_14_6,T,0,4,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_14_6_B,leaf_2007_BNZ_14_6,B,0,1,0,0,0,0,0,0,1,0,1,0
surface_2007_BNZ_14_7_T,leaf_2007_BNZ_14_7,T,0,2,0,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_14_7_B,leaf_2007_BNZ_14_7,B,0,0,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_15_3_T,leaf_2007_BNZ_15_3,T,0,0,2,0,0,0,0,0,0,0,0,0
surface_2007_BNZ_15_3_B,leaf_2007_BNZ_15_3,B,0,0,1,0,0,0,0,0,0,0,0,1
surface_2007_BNZ_15_4_T,leaf_2007_BNZ_15_4,T,0,2,0,0,0,0,0,0,1,0,0,1
surface_2007_BNZ_15_4_B,leaf_2007_BNZ_15_4,B,1,1,0,0,0,0,0,0,0,0,1,2
surface_2007_BNZ_15_5_T,leaf_2007_BNZ_15_5,T,0,1,1,0,0,0,1,0,0,0,0,0
surface_2007_BNZ_15_5_B,leaf_2007_BNZ_15_5,B,0,0,0,1,0,0,0,0,0,0,0,1
surface_2007_BNZ_15_6_T,leaf_2007_BNZ_15_6,T,0,3,0,0,0,0,1,0,0,0,0,0
surface_2007_BNZ_15_6_B,leaf_2007_BNZ_15_6,B,0,0,0,1,0,0,0,0,0,0,0,0
surface_2007_BNZ_15_7_T,leaf_2007_BNZ_15_7,T,0,1,0,0,0,1,0,0,0,0,0,0
surface_2007_BNZ_15_7_B,leaf_2007_BNZ_15_7,B,0,0,0,0,0,0,1,0,0,0,0,0
surface_2007_BNZ_15_8_T,leaf_2007_BNZ_15_8,T,0,0,0,0,0,0,0,0,0,0,0,1
